19010101	-67
19010102	-28
19010105	0
19010107	-22
19010108	-11
19010109	6
19010112	0
19010114	-50
19010115	17
19010116	11
19010117	-17
19010118	-83
19010119	0
19010120	22
19010121	-22
19010122	17
19010123	39
19010124	33
19010126	0
19010128	-22
19010129	-11
19010130	-6
19010131	-17
19010201	-17
19010202	-83
19010203	0
19010204	-33
19010205	-22
19010206	-11
19010207	-6
19010208	-17
19010210	-172
19010211	-167
19010212	-183
19010213	-67
19010214	-56
19010216	-333
19010217	-44
19010218	-61
19010219	-50
19010220	-39
19010221	-56
19010222	-100
19010223	-83
19010224	-72
19010225	-33
19010226	-78
19010228	6
19010301	-67
19010302	-56
19010303	-94
19010305	11
19010307	-133
19010308	0
19010310	-17
19010311	17
19010312	11
19010313	33
19010315	0
19010319	6
19010320	-33
19010321	-22
19010322	0
19010324	-17
19010325	-83
19010326	-117
19010327	-61
19010328	-22
19010329	-39
19010330	-56
19010331	-17
19010402	17
19010403	39
19010404	33
19010406	28
19010407	50
19010408	-17
19010409	17
19010410	39
19010413	0
19010414	22
19010415	-17
19010416	17
19010417	39
19010420	56
19010421	78
19010422	72
19010423	17
19010424	6
19010425	33
19010426	128
19010427	117
19010428	50
19010429	144
19010430	133
19010501	39
19010502	167
19010503	128
19010504	56
19010505	22
19010506	-33
19010507	17
19010508	39
19010509	89
19010511	133
19010512	122
19010513	72
19010514	100
19010515	117
19010516	33
19010517	144
19010518	56
19010519	122
19010520	44
19010521	128
19010522	117
19010523	211
19010524	83
19010525	56
19010526	150
19010527	111
19010528	156
19010529	117
19010530	106
19010601	83
19010602	133
19010603	178
19010604	167
19010605	156
19010606	194
19010607	239
19010608	256
19010609	217
19010610	206
19010611	111
19010612	128
19010613	117
19010614	106
19010616	133
19010617	206
19010618	167
19010619	128
19010620	222
19010621	183
19010622	172
19010623	189
19010624	150
19010625	244
19010626	156
19010627	194
19010628	106
19010629	144
19010630	189
19010701	150
19010702	139
19010703	156
19010704	194
19010705	183
19010706	256
19010707	217
19010708	178
19010709	167
19010711	250
19010712	239
19010713	228
19010714	189
19010715	206
19010716	300
19010717	156
19010718	278
19010719	267
19010721	217
19010722	206
19010723	244
19010725	278
19010726	211
19010727	200
19010728	217
19010729	206
19010730	244
19010731	233
19010801	256
19010802	189
19010803	178
19010804	139
19010805	156
19010806	194
19010807	183
19010808	200
19010809	161
19010810	178
19010811	167
19010812	261
19010813	278
19010814	183
19010815	200
19010816	217
19010817	283
19010818	272
19010819	156
19010821	183
19010822	172
19010823	189
19010824	178
19010825	139
19010826	128
19010827	222
19010828	183
19010829	172
19010830	189
19010831	150
19010902	111
19010903	100
19010904	117
19010905	106
19010906	94
19010908	89
19010910	128
19010911	117
19010913	172
19010914	161
19010915	122
19010916	111
19010917	156
19010918	117
19010919	106
19010920	172
19010921	161
19010922	150
19010923	111
19010924	128
19010925	117
19010926	106
19010927	144
19010928	161
19010929	150
19010930	167
19011001	139
19011002	128
19011003	117
19011005	144
19011006	133
19011007	122
19011008	72
19011009	100
19011010	117
19011011	106
19011012	83
19011013	56
19011014	78
19011015	72
19011016	100
19011019	83
19011021	78
19011022	72
19011023	94
19011024	39
19011025	89
19011026	83
19011027	56
19011029	111
19011030	17
19011031	39
19011101	67
19011102	61
19011103	83
19011104	28
19011105	50
19011106	72
19011107	17
19011108	11
19011109	-44
19011111	-22
19011112	22
19011113	0
19011115	-6
19011116	-72
19011117	6
19011118	-22
19011119	50
19011120	0
19011122	-6
19011123	33
19011124	6
19011125	28
19011126	22
19011127	-28
19011128	17
19011129	-106
19011130	-72
19011201	-61
19011202	-22
19011203	-39
19011204	-28
19011205	17
19011206	11
19011207	33
19011208	6
19011209	-22
19011211	-56
19011212	-94
19011213	-83
19011214	-44
19011215	-89
19011216	-50
19011217	-67
